item_name,category_name
tadım ay cekirdegi 100 gr,büskivi çerez
antep fistigi,büskivi çerez
besni uzum,büskivi çerez
sari leblebi,büskivi çerez
tat ketcap 750 gr bufe tipi,hazır yemekler
seker leblebi,büskivi çerez
tamek aci biber tursusu 330gr,hazır yemekler
bizden asurelik buğday 1kg,bakliyat
bizden pilavlik bulgur 1kg,bakliyat
f saff sıvı sabun lavanta ruyasi 2500ml,duş banyo
reis gonen baldo pirinç 2500 gr,bakliyat
gillette mach3 turbo bicak 2li,traş malzemeleri
uludağ limonata 1 litre sekersiz,gazsız içecek
f saff sıvı el sabunu hindistan cevizli 1000ml,duş banyo
lipton ice tea 1 lt tga limon,gazsız içecek
pam sıvı sabun 1 lt lavanta leylak,duş banyo
reis cin mısır 500 gr,bakliyat
bizden kirmizi mercimek 1kg,bakliyat
vileda super yedek paspas classic,ev temizlik gereçleri
"marc 2,5 lt deo sıvı floral",ev temizleyici
bingosoft 6 lt star,çamaşır yikama
derya taze kasar 700gr,peynir
senpilic kalcali but,kümes hayvanlari
senpilic kanat special,kümes hayvanlari
bizim ketcap 750gr + mayonez 650 gr makarna hediye,hazır yemekler
kalbim ton baligi 3*80gr,hazır yemekler
tadım ay cekirdegi 100gr bol tuzlu,büskivi çerez
rocco orginals lolipop,sakız şekerleme
f neffis kesme seker 750 gr,çay kahve
first karadut gizemi,sakız şekerleme
doğuş kup seker 1kg,çay kahve
first sensations damla tutkusu 27 gr,sakız şekerleme
parodonax bitkisel orginal 50ml,ağız bakim
bağdat susam 90gr,tuz baharat
yesil mercimek,bakliyat
osmancik pirinç kg.,bakliyat
fidanlar hindistan cevizi 100 gr,tuz baharat
fidanlar kekik 100 gr,tuz baharat
fidanlar mahlep 100 gr,tuz baharat
colgate maxbeyazlik 50 ml kristal beyazlik,ağız bakim
colgate uclu etki 125ml d.m.,ağız bakim
colgate superfresh 125 ml d.m.,ağız bakim
f saff çöp poşeti orta boy,mutfak eşya gereçleri
k.plast cop torbasi eko orta boy 20'li,mutfak eşya gereçleri
f saff çöp poşeti büyük boy,mutfak eşya gereçleri
cook yağli pisirme kagidi 8 metre,mutfak eşya gereçleri
ruffles originalaile 87gr,büskivi çerez
cheetos kivir kivir 44gr,büskivi çerez
ruffles orginal132 gr,büskivi çerez
cheetos firinda fıstıklı 44 gr.,büskivi çerez
oncu biber salcasi aci 1850 gr,hazır yemekler
tat domates puresi 1/5,hazır yemekler
head shoulders 400ml kepeğe karşi bakim,saç bakım
tat findikli ezme 190 gr,hazır yemekler
tat turlu cam 680gr,hazır yemekler
penguen bezelye 680grcam,hazır yemekler
pantene y 400ml yogun ve hacimli şampuan,saç bakım
"olca domates salcasi 1,85 gr",hazır yemekler
koy peyniri,peynir
al gunduz trakya beyaz peynir,peynir
sutas suzme beyaz peynir 500 gr,peynir
ekici ucgen peynir 100 gr,peynir
oyali cecil peyniri,peynir
doritos taco parti 203 gr,büskivi çerez
penguen domates salcasi 830 gr,hazır yemekler
yerli baldo pirinç,bakliyat
battal fasulye,bakliyat
nohut beyaz,bakliyat
kirmizi mercimek,bakliyat
doganay salgam suyu 1000ml acili,gazsız içecek
fidanlar aci pulbiber 250 gr,tuz baharat
fidanlar kirmizi tatli toz biber 100gr,tuz baharat
horoz fasulye,bakliyat
bağdat kirmizi pulbiber 250gr,tuz baharat
mısır unu,bakliyat
kirik pirinç,bakliyat
bulgur esmer,bakliyat
elseve 650 ml yipranmis cansiz saclar,saç bakım
tat domates salcasi teneke 830 gr,hazır yemekler
elidor 700ml samp. kepeğe karşi,saç bakım
elidor 700ml samp. guclu ve parlak 2 in 1,saç bakım
doritos nacho peynirli 92 gr,büskivi çerez
duru 600ml şampuan sarmasik kremli,saç bakım
hobby crazy head jole 150 ml islak sert,saç bakım
pantene 400gr dogal sentez şampuan,saç bakım
doritos taco 150 gr super boy,büskivi çerez
tat kozlenmis biber 670 gr,hazır yemekler
erzincan tulum peyniri,peynir
gurova beyaz peynir 1kg,peynir
ekici tam yağli beyaz peynir,peynir
derya yağli beyaz peynir 1kg,peynir
gurova klasik beyaz peynir,peynir
biodeep aseton 110 ml yesil,makyaj malzemeleri
barbunya fasulye,bakliyat
fidanlar nane 100 gr,tuz baharat
parodonax bitkisel beyazlatici 50ml,ağız bakim
sensodyne florurlu 100 ml,ağız bakim
f saff cira 10'lu,mutfak eşya gereçleri
k.plast buzd.poseti kucuk 50 ad,mutfak eşya gereçleri
k.plast strec film 15 metre,mutfak eşya gereçleri
pınar labne peynir 400gr,peynir
tat haslanmis nohut 420 gr,hazır yemekler
pantene 700ml 2in 1 samp temel bakim 2012,saç bakım
doğuş cipso 69 gr. yogurt lezzeti tirtikli,büskivi çerez
olca domates salcasi 950 gr,hazır yemekler
tat cevizli ezme 200gr,hazır yemekler
sutas dil peyniri 300gr,peynir
pınar beyaz peynir 800 gr.t.yağli,peynir
k.kukrer limon sosu 500ml,hazır yemekler
tat konserve garnitur 530gr.,hazır yemekler
sek gunluk sut kutu 500 ml.,süt
unal tam yağli klasik ezine,peynir
tahsildaroglu ezine beyaz peynir,peynir
yorsan koy peyniri 550 gr,peynir
oyali tam yağli ezine peyniri,peynir
pudra sekeri 500gr,unlu mamüller
nescafe 3 in 1 arada 18 gr,çay kahve
arko nem gunluk krem inci 100ml.,vucut el bakimı
cafe crown 3 u 1 findikli,çay kahve
nescafe gold 100 gr eko paket,çay kahve
nescafe 3 in 1 çikolatali 13 gr,çay kahve
pakmaya yas maya 4lu paket,unlu mamüller
pakmaya instant kuru maya 3 'lu,unlu mamüller
mehmet efendi kahve 100 gr.,çay kahve
nescafe 3 in 1 arada bol sutlu kopuk 18 gr,çay kahve
nescafe classic 50 gr.eko paket,çay kahve
fidanlar karabiber 100 gr,tuz baharat
knorr manti yoğurtlu 98 gr,tuz baharat
mr.muscle lavabo acici toz 140gr,ev temizleyici
sitil premium evali parlatici sunger 1ad.,ev temizleyici
sitil premium parlatici kutu sunger naturel,ev temizleyici
f saff ahsap temizleyici 750 ml.,ev temizleyici
yorsan white peynir 100gr,peynir
ekici tam yağli klasik b peynir,peynir
penguen biber salca aci 360gr,hazır yemekler
cheetos 44 gr peynir&sogan,büskivi çerez
lay`s  baharatli 119 gr,büskivi çerez
tamek konsr fasulye pilaki 425 gr,hazır yemekler
fersan elma sirkesi 1000 ml,hazır yemekler
tat bezelye konservesi 700 gr.cam,hazır yemekler
tamek bezelye 850gr tnk,hazır yemekler
dr.oetker çikolata sosu 128 gr.,hazır yemekler
dr.oetker çikolata sosu 125 gr.bitter,hazır yemekler
tamek haslanmis nohut 830 gr,hazır yemekler
penguen garnitur 540gr,hazır yemekler
ege baglari uzum sirkesi 750ml pet,hazır yemekler
f kervan domates salcasi 800 gr,hazır yemekler
asurelik buğday,bakliyat
pilavlik bulgur,bakliyat
doganay salgam suyu 330 ml acili,gazsız içecek
k.plast cop poseti kucuk 30 ad,mutfak eşya gereçleri
k.plast a.folyo 15mt,mutfak eşya gereçleri
f saff çöp poşeti battal boy,mutfak eşya gereçleri
k.plast pisirme kagidi 8metre,mutfak eşya gereçleri
doganay salgam suyu 1000ml,gazsız içecek
tat domates salcasi teneke 4500 gr,hazır yemekler
pınar kah.keyfi beyaz peynir 800 gr,peynir
sek gunluk sut kutu 1 lt.,süt
cebel tulum peyniri bez 1kg,peynir
philips 20 w tornado 8w kalin duy beyaz,elektronik
lay's  aci biber 61 gr.,büskivi çerez
tamek domates salcasi 830 gr,hazır yemekler
tamek konsr barbunya pilaki 215 gr,hazır yemekler
knorr bulyon 24tablet 6 bedava et,corba bulyon
ülker biskrem 3'lu paket,büskivi çerez
ülker ikram 400gr çikolatali,büskivi çerez
ülker cokokrem puding 100gr,büskivi çerez
ülker biskrem çikolatali 140 gr,büskivi çerez
ülker probis rulo 10`lu no:72,büskivi çerez
ülker kremali 340 gr 106-1,büskivi çerez
ülker dankek çay saati islak kek 240 gr,büskivi çerez
ülker petibor biskuvi 1kg.-133,büskivi çerez
halk borneo kremali kakaolu biskuvi 92 gr poset,büskivi çerez
eti burcak sutlu kremali 270 gr,büskivi çerez
eti çay keyfi damla ciklatali 161 gr,büskivi çerez
eti form 45 gr light karişik meyveli,büskivi çerez
eti tutku biskuvi 120 gr kakao kremali,büskivi çerez
eti burcak 3 lu 420 gr,büskivi çerez
eti pop kek 180 gr kakaolu,büskivi çerez
eti 80 gr karam bitter,büskivi çerez
ülker piko 25gr-398,büskivi çerez
